week,total,five,base_mean,base_std,z,poisson_p,fdr_sig
2020-10-19/2020-10-25,46,26,23.1667,5.3739,0.5272,0.3046,False
2026-03-09/2026-03-15,15,11,9.1667,2.4433,0.7504,0.3139,False
2020-06-01/2020-06-07,29,19,16.6667,8.8557,0.2635,0.3151,False
2020-03-02/2020-03-08,29,14,12.0,5.099,0.3922,0.3185,False
2023-01-23/2023-01-29,24,12,10.1667,4.4484,0.4121,0.3223,False
2020-12-07/2020-12-13,42,27,24.4167,5.7912,0.4461,0.3266,False
2025-08-04/2025-08-10,17,10,8.4167,2.1515,0.7359,0.3362,False
2021-09-27/2021-10-03,39,27,24.5833,5.5671,0.4341,0.3391,False
2020-07-27/2020-08-02,40,27,24.5833,6.543,0.3694,0.3391,False
2019-02-25/2019-03-03,12,6,4.75,2.1794,0.5735,0.3403,False
2021-07-26/2021-08-01,44,26,23.75,6.0772,0.3702,0.3487,False
2024-03-11/2024-03-17,43,21,19.0,6.7823,0.2949,0.3528,False
2022-04-11/2022-04-17,36,24,21.9167,7.6212,0.2734,0.3558,False
2022-07-18/2022-07-24,27,17,15.25,3.3609,0.5207,0.3601,False
2018-07-02/2018-07-08,9,8,6.75,7.2879,0.1715,0.3641,False
2019-09-30/2019-10-06,13,8,6.75,6.8639,0.1821,0.3641,False
2021-08-16/2021-08-22,40,25,23.0,5.4272,0.3685,0.3654,False
2022-06-27/2022-07-03,31,19,17.25,5.446,0.3213,0.3679,False
2018-09-10/2018-09-16,10,4,3.0833,2.2747,0.403,0.3714,False
2020-08-31/2020-09-06,41,25,23.0833,5.9154,0.324,0.3721,False
2022-09-05/2022-09-11,35,18,16.3333,4.4586,0.3738,0.3721,False
2020-04-20/2020-04-26,26,15,13.5,4.9635,0.3022,0.3767,False
2022-01-03/2022-01-09,34,21,19.3333,3.6763,0.4534,0.3819,False
2018-02-26/2018-03-04,17,6,5.0,15.5271,0.0644,0.384,False
2025-05-26/2025-06-01,18,10,8.8333,3.2983,0.3537,0.3906,False
2021-12-13/2021-12-19,31,21,19.5,3.8019,0.3945,0.3966,False
2021-12-20/2021-12-26,26,21,19.5,3.8019,0.3945,0.3966,False
2024-04-08/2024-04-14,30,18,16.6667,5.0871,0.2621,0.4039,False
2025-11-10/2025-11-16,19,11,9.9167,2.2344,0.4848,0.4065,False
2022-03-21/2022-03-27,34,23,21.5833,8.1068,0.1748,0.4084,False
2019-11-25/2019-12-01,16,10,9.0,4.156,0.2406,0.4126,False
2023-09-18/2023-09-24,22,16,14.8333,4.8586,0.2401,0.4148,False
2024-01-29/2024-02-04,25,20,18.75,7.2754,0.1718,0.4166,False
2025-09-29/2025-10-05,19,11,10.0,1.954,0.5118,0.417,False
2024-10-07/2024-10-13,18,11,10.0,4.1341,0.2419,0.417,False
2022-12-19/2022-12-25,21,12,11.0,4.1779,0.2394,0.4207,False
2026-02-23/2026-03-01,18,10,9.0833,2.3143,0.3961,0.4236,False
2025-09-01/2025-09-07,20,10,9.0833,2.4293,0.3773,0.4236,False
2025-04-14/2025-04-20,20,10,9.0833,3.4499,0.2657,0.4236,False
2018-10-08/2018-10-14,10,6,5.25,7.5814,0.0989,0.4278,False
2024-01-08/2024-01-14,33,20,18.9167,7.4524,0.1454,0.4318,False
2024-09-02/2024-09-08,16,10,9.1667,2.9491,0.2826,0.4345,False
2025-05-12/2025-05-18,16,10,9.1667,3.2983,0.2527,0.4345,False
2024-02-19/2024-02-25,38,21,20.0,6.592,0.1517,0.4409,False
2025-07-07/2025-07-13,18,9,8.25,2.6328,0.2849,0.4423,False
2020-07-13/2020-07-19,48,23,22.0,7.7928,0.1283,0.4436,False
2022-09-12/2022-09-18,24,18,17.0833,3.8248,0.2397,0.444,False
2024-04-15/2024-04-21,28,17,16.1667,4.5693,0.1824,0.4506,False
2019-04-15/2019-04-21,11,8,7.3333,3.2567,0.2047,0.4508,False
2018-03-26/2018-04-01,12,8,7.3333,15.1917,0.0439,0.4508,False
2023-10-16/2023-10-22,42,24,23.0833,19.8927,0.0461,0.4518,False
2021-05-31/2021-06-06,33,25,24.1667,4.7065,0.1771,0.4595,False
2018-03-05/2018-03-11,13,6,5.5,15.4479,0.0324,0.4711,False
2018-04-09/2018-04-15,11,9,8.5,14.8232,0.0337,0.4769,False
2021-05-03/2021-05-09,38,24,23.5,4.0113,0.1246,0.4862,False
2020-02-03/2020-02-09,16,11,10.5833,5.0355,0.0827,0.4895,False
2024-01-22/2024-01-28,32,19,18.5833,7.2921,0.0571,0.4922,False
2025-03-03/2025-03-09,21,7,6.6667,4.0973,0.0814,0.4995,False
2020-08-24/2020-08-30,40,23,22.75,6.0321,0.0414,0.5069,False
2024-11-18/2024-11-24,11,9,8.75,4.4949,0.0556,0.511,False
2023-10-23/2023-10-29,42,24,23.8333,19.7292,0.0084,0.5136,False
2019-02-18/2019-02-24,15,5,4.75,2.1794,0.1147,0.5146,False
2022-07-04/2022-07-10,29,17,16.8333,5.0602,0.0329,0.5161,False
